Lieux.nom,Oblast,Coordonnées
Pot’omkyne,Kherson,"47.48771517789091, 33.57342864710176"
Novodanylivka,Zaporizhia,"47.5270814969203, 35.82086842414867"
Charivne,Zaporizhia,"47.58225252190464, 36.03586499384866"
Shevchenka,Zaporizhia,"47.571981076956305, 36.47218983835682"
Zaitseve,Donetsk,"48.52436257043854, 38.06377373228108"
Mayorsk,Donetsk,"48.39563168856746, 37.97446671924819"
Kurakhove,Donetsk,"47.984333915744386, 37.279334726588004"
Kherson,Kherson,"46.65184370246009, 32.610520188811975"
Sevastopol,Crimée,"44.59107906057111, 33.545066524863316"
Dovhen’ke,Kharkiv,"49.017818311483, 37.31985752256137"
Semyhirja,Donetsk,"48.46901903839472, 38.14608876204369"
Lupareve,Mykolaiv,"46.69577366791465, 31.979011388649923"
Posad-Pokrovs’ke,Kherson,"46.80600519697721, 32.26308770693065"
Kvitneve,Mykolaiv,"47.02241691509277, 32.45475835521933"
Partyzans’ke,Mykolaiv,"47.06959511595873, 32.533909042806485"
Veselyi Kut,Mykolaiv,"47.15473429963396, 32.910138770255834"
Kam’yans’ke,Zaporizhia,"47.54031476930767, 35.37630034523346"
Hulyaypole,Zaporizhia,"47.66698539975247, 36.260518235932025"
Chervone,Zaporizhia,"47.65664099314477, 36.38577951846801"
Bohoyavlenka,Donetsk,"47.858180032495255, 37.2144913588013"
novooleksandrivka,Donetsk,"48.280181776145646, 37.556698371478234"
Oleshki,Kherson,"46.62055760945696, 32.71939081180324"
Novovorontsovka,Kherson,"47.499704525594694, 33.920741053430405"
Svatove,Luhansk,"49.4114291876407, 38.155866479767205"
Enerhodar,Zaporizhia,"47.501936320067784, 34.62975835753862"
Sukhoy Stavok,Kherson,"47.15822102911463, 33.10249524413513"
Davydiv Brid,Kherson,"47.239609001584775, 33.19417240388176"
Beryslav,Kherson,"46.83949234140073, 33.4259462175972"
Chaplynka,Kherson,"46.36350389956282, 33.53501354735195"
Ukrainka,Mykolaiv,"46.82497653256431, 32.14082225713074"
Shnurky,Donetsk,"48.90599361122289, 37.3065927100202"
Shyroka Balka,Kherson,"46.587671666434225, 32.19549945833208"
Kachkarivka,Kherson,"47.09537628857977, 33.74461523883943"
Okip,Kharkiv,"50.41991150034618, 36.14622525316831"
Novoselivka,Mykolaiv,"46.99896475794868, 32.3926945142206"
Kalynivka,Mykolaiv,"47.04580542251051, 32.18192083842922"
Bilousove,Kherson,"47.316347839146495, 33.231805358116624"
Zarichne,Kherson,"47.44436693148656, 33.373801702671784"
Zelenodol’s’k,Dnipropetrovsk,"47.5669230824577, 33.64674783499009"
L’vove,Kherson,"46.79150765551646, 33.15188070821975"
Prudyanka,Kharkiv,"50.24494434570705, 36.17094946153913"
Polohy,Zaporizhia,"47.476131930981175, 36.26220437794504"
Novomykaylivka,Mykolaiv,"47.74429043440161, 32.7359612452045"
Chervona Dolyna,Mykolaiv,"47.14533555187626, 32.66395747704446"
Dobryanka,Kherson,"47.461691689295016, 33.62219649360568"
Trudolyubivka,Kherson,"47.44558040452058, 33.69762443221374"
Osokorivka,Kherson,"47.44079068799428, 33.91990353295799"
Chervonyi Yar,Mykolaiv,"47.31586135466371, 32.98243305351837"
Kostyrka,Kherson,"47.39428770257724, 33.55475051175666"
Chornobaivka,Kherson,"46.69570084882484, 32.54789615608077"
Bilozerka,Kherson,"46.62752800710103, 32.44124793274431"
Chervonohvardiiske ,Crimée,"45.11455006663178, 34.02065070607623"
Tokmak,Zaporizhia,"47.24902981303577, 35.70755535488698"
Nikopol’,Dnipropetrovsk,"47.57940323621264, 34.37056908631162"
Zakitne,Donetsk,"48.89650405424635, 37.969551713786394"
Balaklava,Crimée,"44.52279831868196, 33.69348830933915"
Novoyakovlivka,Zaporizhia,"47.62407556538028, 35.508744528020095"
Bilohir’ya,Zaporizhia,"47.52475263746298, 35.99536591958864"
Zelene Pole,Donetsk,"47.828523752413, 36.622087083500965"
Neskuchne,Donetsk,"47.817408928256825, 36.8077026261603"
Zolota Nyva,Donetsk,"47.793618559274826, 36.987421094281665"
Klenove,Kharkiv,"48.832557670518156, 36.26000258052077"
Velyki Prokhody,Kharkiv,"50.20068016700141, 36.32840468312036"
Peremoha,Kharkiv,"50.11238824930525, 36.66244515728329"
Bayrak,Kharkiv,"50.048194312415816, 36.431952968532336"
Donestk,Donetsk,"47.990469143563686, 37.81682043241803"
Horlivka,Donetsk,"48.32529515793624, 38.04795012187406"
Lyubymivka,Kherson,"47.396706957635864, 33.71569101633199"
Petrivka,Kherson,"47.413387871198594, 33.79125473745518"
Arkhanhel’s’ke,Kherson,"47.431599082585805, 33.40522135898669"
Khreshchenivka ,Kherson,"47.386053355906384, 33.823656379787856"
Donets’ke,Donetsk,"48.93391486815465, 37.69069175005342"
Verkhnokam’yans’ke,Donetsk,"48.860124421089864, 38.191418171750996"
Pereyizne,Donetsk,"48.77841592394227, 38.07552093460082"
Sukha Balka,Donetsk,"48.31931670781391, 37.762867704471056"
Yur’Yivka,Donetsk,"48.31344477873611, 37.831641961880806"
Kozatske,Kherson,"46.78517457716584, 33.33704960899273"
Lymany,Mykolaiv,"46.72528415733585, 31.97117990630337"
Luch,Mykolaiv,"46.826531896244525, 32.220161738862316"
Tonen’ke,Donetsk,"48.13698274117812, 37.64679854284211"
Karlivka,Donetsk,"48.109245522231376, 37.48916547335597"
Heorhiyivka,Donetsk,"48.30989813117172, 36.92657026327833"
Zaliznychne,Zaporizhia,"47.64884846841738, 36.164755854739994"
Novodarivka,Zaporizhia,"47.780800476182534, 36.63378835811534"
Novoocheretuvate,Donetsk,"47.90012035112969, 36.813048274029214"
Mykil’s’ke,Donetsk,"47.75386963710985, 37.30572081589234"
Sukhyi Stavok,Kherson,"47.158629567280904, 33.10421185775194"
Kostromka,Kherson,"47.13764375002781, 33.149179108860444"
Pravdyne,Kherson,"46.73659519821088, 32.20351352685471"
Kramatorsk,Donetsk,"48.73733729129159, 37.56466613760956"
Kreshchenivka,Kherson,"47.38685972389504, 33.820844225278705"
Myroliubivka,Kherson,"47.40598766119143, 33.6523100493305"
Repyakhovka,Belgorod,"50.86027515943516, 35.47277725969125"
Kozacha Lopan’,Kharkiv,"50.33182564685438, 36.187900211545475"
Pasika,Kharkiv,"49.072746588909695, 37.4636276883842"
Sulyhivka,Kharkiv,"49.029228683131144, 37.24292179004133"
Ozerne,Donetsk,"48.897157334737464, 37.911674044525306"
Brusivka,Donetsk,"48.90894654939091, 37.78428032502309"
Solodke,Donetsk,"47.78781082917546, 37.49150564785866"
Novokalynove,Donetsk,"48.24560479606205, 37.696162528176735"
Berdychi,Donetsk,"48.19525375467007, 37.64733549334353"
Slovyansk,Donetsk,"48.84912428639578, 37.607544100882215"
Bilohirka,Kherson,"47.199350152031066, 33.13853224870857"
Balakliya,Kharkiv,"49.45637596912874, 36.85321104129627"
Spartak,Donetsk,"48.08192761712709, 37.77220804981482"
Novovoskresens’ke,Kherson,"47.328386825170085, 33.600314189658356"
Odnorobivka,Kharkiv,"50.36087737886094, 35.91506394133804"
Sosnivka,Kharkiv,"49.42098377541208, 35.653397237817735"
Borshchova,Kharkiv,"50.16164216005642, 36.41614451223051"
Kam’yanske,Zaporizhia,"47.53925417565664, 35.36866762644203"
Vil’ne Pole,Donetsk,"47.87425674139471, 36.685281343344236"
Kermenchyk,Donetsk,"47.71048661371845, 36.942475625542926"
Pyskunivka,Donetsk,"48.883685539224736, 37.83743056969993"
Kryva Luka,Donetsk,"48.873003892297625, 37.90343457039141"
Mykolaivka,Luhansk,"48.77986264141563, 38.32851937182352"
Oleksandrivka,Donetsk,"47.921161558108224, 37.56670721114057"
Myrne,Mykolaiv,"46.81244851082484, 32.31069534909951"
Tomina Balka,Kherson,"46.62357358348547, 32.30717533850338"
Shchaslyve,Kherson,"47.1097022050234, 33.16007609288859"
Bezimenne,Kherson,"47.09997727305819, 33.11559863622202"
Ternovi Pody,Mykolaiv,"46.85845903085863, 32.3860553568084"
Sydorove,Donetsk,"48.9852983810191, 37.60167464091762"
Platonivka,Donetsk,"48.898487351082615, 38.018940969298036"
Mos’panove,Kharkiv,"49.6404142142642, 36.74618491007948"
Pryshyb,Kharkiv,"49.51276443655566, 36.7488122349789"
Asiyivka,Kharkiv,"49.363936450666486, 36.685784048680574"
Shmidtove,Mykolaiv,"46.87493314581441, 32.46157557424312"
Hulyaypil’s’ke,Zaporizhia,"47.613032780847824, 36.058395139909024"
Poltavka,Zaporizhia,"47.718522054697715, 36.48020705569881"
Paraskoviyivka,Donetsk,"48.65793707940129, 37.999367208551156"
Dar’yivka,Kherson,"46.750936050892676, 32.79137063592492"
Hola Prystan’,Kherson,"46.52112833543586, 32.51984107089377"
Verbivka,Kharkiv,"49.48492324492622, 36.82757187244985"
Yakovenkove,Kharkiv,"49.5259351981936, 36.90741024911883"
Volokhiv Yar,Kharkiv,"49.599712142947034, 36.97992484234264"
Bairak,Kharkiv,"49.414070905586094, 36.83450263732321"
Nova Husarivka,Kharkiv,"49.3917282669557, 36.87919188107437"
Balaklya,Kharkiv,"49.46403902236962, 36.860662193374445"
Mykolaivka Druha,Donetsk,"48.47112233780121, 38.012214492550754"
Kupyansk,Kharkiv,"49.710421048397784, 37.61258534610294"
Izyum,Kharkiv,"49.21093000913082, 37.2803178586105"
Mariupol,Donetsk,"47.12225345850914, 37.56133178397224"
Mali Shcherbaky,Zaporizhia,"47.54837450394174, 35.546677694930366"
Novoandriyivka,Zaporizhia,"47.54840066279169, 35.69846631297487"
Shcherbaky,Zaporizhia,"47.54979933707792, 35.58245900162566"
Mala Tokmachka,Zaporizhia,"47.53491014405966, 35.89785724117031"
Shevchenka,Zaporizhia,"47.40842704475531, 35.1876579560046"
Savyntsi,Kharkiv,"49.401278166463634, 37.06035882679198"
Bryhadyrivka,Kharkiv,"49.552027551892614, 37.06863915935765"
